Dataset,Samples,Model,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,ROC_AUC_Mean,ROC_AUC_Std
Adult,75,CatBoost,0.8136349677551438,0.00927165840321947,0.6909128971035937,0.07387174723939947,0.42403763900769886,0.09623020607372043,0.516073288656688,0.06171715055709772,0.840631488623192,0.03182442138734974
Adult,75,LightGBM,0.7782782270447334,0.01853082426058921,0.5530770221179212,0.05922120578405904,0.49076133447390935,0.12217997736162466,0.5080362807356696,0.06392264972786672,0.7905248963403143,0.053700951892021655
Adult,75,TabPFN,0.8172177295526666,0.018272672965969655,0.6747096899180179,0.0767136995949483,0.4852865697177074,0.14037512595028337,0.5495195469378433,0.09951072227208693,0.851332613623897,0.029450433805343002
Adult,75,XGBoost,0.7815743678984542,0.01969999120482905,0.5680299838159942,0.08698111975844013,0.4555175363558597,0.12025781191135727,0.49344489965622723,0.06564873581408756,0.7902558398975739,0.04111124460617785
Adult,100,CatBoost,0.8197154263486539,0.014776608975525601,0.6982165764948789,0.0850874059905162,0.4643284858853721,0.0832677475774331,0.5488746191913637,0.050306636612224835,0.8590712283259767,0.01441135220690067
Adult,100,LightGBM,0.7842358480908997,0.021713898810622953,0.5720738278299269,0.07070777398558717,0.4654405474764756,0.11910734770765906,0.5012017160687899,0.07803507498745456,0.7925524865834397,0.051683299972370554
Adult,100,TabPFN,0.8173815129491249,0.015297946800263213,0.6711618249207619,0.08337156477486903,0.5144568006843456,0.13049943794173616,0.5658925104694654,0.08167024641763015,0.8619097291891791,0.020919417472773108
Adult,100,XGBoost,0.7896816460231344,0.01969629412092455,0.5895108634625813,0.07780852953747992,0.4733105218135158,0.12612277942147315,0.5110071069843178,0.07751476534657303,0.7985872594162273,0.04726452531872195
Adult,150,CatBoost,0.8297471593817176,0.007953342537971227,0.7067371036042873,0.07705317174495432,0.5194183062446535,0.08117290147017978,0.5910027617153026,0.03315162301795976,0.8724493915450718,0.0059462537171441395
Adult,150,LightGBM,0.7971337905619819,0.012663749199884368,0.5965178793938554,0.04666984645542706,0.5056458511548332,0.0965754874765365,0.5398849435203363,0.054310538443486,0.8125237154734881,0.03145045562700488
Adult,150,TabPFN,0.827065206264715,0.010797793839887595,0.6798509958905079,0.0741706945443628,0.5593669803250642,0.08915565280020396,0.6051320011836931,0.029284402965012828,0.8693438315133963,0.012296947409991009
Adult,150,XGBoost,0.8049749206674172,0.01608678855622266,0.624842239096105,0.0748967089279474,0.5132591958939264,0.08307000059914922,0.5549984075442541,0.03612833220380654,0.8347914932002309,0.015279293262983759
