Dataset,Samples,Metric,Model,Mean,Std,N
Adult,6000,ROC_AUC,TabPFN,0.91220555025827,0.0014264294309072963,5
Adult,8000,Accuracy,XGBoost,0.8573856075340363,0.003922983105565013,5
Adult,8000,Accuracy,LightGBM,0.8631589722591873,0.0007570831031671493,5
Adult,8000,Accuracy,CatBoost,0.8671716654724128,0.0010302784432458714,5
Adult,8000,Accuracy,TabPFN,0.8596581021598937,0.0012723720846203365,5
Adult,8000,Precision,XGBoost,0.733583091772992,0.011494261556992413,5
Adult,8000,Precision,LightGBM,0.7520235843490573,0.007938014417017808,5
Adult,8000,Precision,CatBoost,0.7746300002150877,0.0029403380803584506,5
Adult,8000,Precision,TabPFN,0.7514902717910612,0.006145155455625148,5
Adult,8000,Recall,XGBoost,0.6348160821214713,0.01388398012164341,5
Adult,8000,Recall,LightGBM,0.6391787852865697,0.00981233073604548,5
Adult,8000,Recall,CatBoost,0.6276304533789563,0.008330036694720417,5
Adult,8000,Recall,TabPFN,0.6180496150556031,0.0034083356395443187,5
Adult,8000,F1,XGBoost,0.6805407172608904,0.009471229695821318,5
Adult,8000,F1,LightGBM,0.6909340357756838,0.002572318263322467,5
Adult,8000,F1,CatBoost,0.6933891836369985,0.004337302820384739,5
Adult,8000,F1,TabPFN,0.6782471344213209,0.0017214876696397374,5
Adult,8000,ROC_AUC,XGBoost,0.9109986037498794,0.002702188935770671,5
Adult,8000,ROC_AUC,LightGBM,0.9169324940867444,0.0025554862858286386,5
Adult,8000,ROC_AUC,CatBoost,0.9204470003415512,0.0003798797094805953,5
Adult,8000,ROC_AUC,TabPFN,0.9127878506784806,0.0009935854904984656,5
Adult,12000,Accuracy,XGBoost,0.8620329614085372,0.0016012785094287325,5
Adult,12000,Accuracy,LightGBM,0.8656566690551746,0.001012323498010155,5
Adult,12000,Accuracy,CatBoost,0.8705087521752481,0.0014385780860431058,5
Adult,12000,Accuracy,TabPFN,0.8607841130105436,0.0013941896275848499,5
Adult,12000,Precision,XGBoost,0.7455638078576428,0.0038825956327781293,5
Adult,12000,Precision,LightGBM,0.7573862220165056,0.006667115433152206,5
Adult,12000,Precision,CatBoost,0.7822893573183881,0.0037903264005959736,5
Adult,12000,Precision,TabPFN,0.7544095034451577,0.005243692359887114,5
Adult,12000,Recall,XGBoost,0.6429426860564585,0.004323952765132646,5
Adult,12000,Recall,LightGBM,0.6455945252352439,0.00916650365372229,5
Adult,12000,Recall,CatBoost,0.6359281437125748,0.005337031910116014,5
Adult,12000,Recall,TabPFN,0.6202737382378101,0.00542204891883512,5
Adult,12000,F1,XGBoost,0.6904572284821793,0.0037789760196416137,5
Adult,12000,F1,LightGBM,0.6969685796739077,0.0033768363532309578,5
Adult,12000,F1,CatBoost,0.7015454733787514,0.003833658779128658,5
Adult,12000,F1,TabPFN,0.6807757360515476,0.0033563499464153795,5
Adult,12000,ROC_AUC,XGBoost,0.9155318695327495,0.0016944246135318704,5
Adult,12000,ROC_AUC,LightGBM,0.9207374224387029,0.0012646034391024029,5
Adult,12000,ROC_AUC,CatBoost,0.9230251590941192,0.0008324096211673112,5
Adult,12000,ROC_AUC,TabPFN,0.9141423594934821,0.000597540845411395,5
Adult,16000,Accuracy,XGBoost,0.864346401883509,0.0018188093634655864,5
Adult,16000,Accuracy,LightGBM,0.8691370662299109,0.001972478894723542,5
Adult,16000,Accuracy,CatBoost,0.8719623298188146,0.0014681385291683785,5
Adult,16000,Accuracy,TabPFN,0.8614392465963763,0.0010967833134182792,5
Adult,16000,Precision,XGBoost,0.7480868492275358,0.005737367855122611,5
Adult,16000,Precision,LightGBM,0.7666685848234369,0.005747532848413482,5
Adult,16000,Precision,CatBoost,0.783546031932085,0.0014742298629630511,5
Adult,16000,Precision,TabPFN,0.755371982906185,0.0025884104906841827,5
Adult,16000,Recall,XGBoost,0.653207869974337,0.007981230923386323,5
Adult,16000,Recall,LightGBM,0.6515825491873397,0.011318726249113897,5
Adult,16000,Recall,CatBoost,0.6425149700598801,0.008927899095179173,5
Adult,16000,Recall,TabPFN,0.622754491017964,0.009037872801161423,5
Adult,16000,F1,XGBoost,0.6974012772415306,0.004716559075504411,5
Adult,16000,F1,LightGBM,0.704393276683421,0.006233704666922657,5
