Dataset,Training_Regime,Metric,Comparison,N,TabPFN_Mean,Tree_Mean,Mean_Difference,Difference_SD
Bank Marketing,Large,F1,TabPFN vs XGBoost,50,0.5521368125728129,0.49625824322412126,0.05587856934869159,0.021229076873049386
Bank Marketing,Large,F1,TabPFN vs LightGBM,50,0.5521368125728129,0.495726573183425,0.05641023938938791,0.017240854652085226
Bank Marketing,Large,F1,TabPFN vs CatBoost,50,0.5521368125728129,0.5076558324324479,0.044480980140364966,0.013547528701864264
Bank Marketing,Large,ROC_AUC,TabPFN vs XGBoost,50,0.9338542434834691,0.9059963518553811,0.027857891628088095,0.009195908413625322
Bank Marketing,Large,ROC_AUC,TabPFN vs LightGBM,50,0.9338542434834691,0.9130552299739705,0.020799013509498542,0.010087281745506469
Bank Marketing,Large,ROC_AUC,TabPFN vs CatBoost,50,0.9338542434834691,0.9224741001854849,0.011380143297984289,0.003178878942138922
Credit-G,Small,Accuracy,TabPFN vs XGBoost,30,0.6998333333333334,0.6846666666666666,0.015166666666666651,0.03394933683099519
Credit-G,Small,Accuracy,TabPFN vs LightGBM,30,0.6998333333333334,0.6961666666666666,0.003666666666666666,0.028555249935004478
Credit-G,Small,Accuracy,TabPFN vs CatBoost,30,0.6998333333333334,0.7104999999999999,-0.01066666666666668,0.027219837255756767
Credit-G,Small,Precision,TabPFN vs XGBoost,30,0.7321986578102365,0.7455598272736622,-0.013361169463425656,0.027858972221082183
Credit-G,Small,Precision,TabPFN vs LightGBM,30,0.7321986578102365,0.7303440261196813,0.0018546316905552048,0.028418643331780735
Credit-G,Small,Precision,TabPFN vs CatBoost,30,0.7321986578102365,0.7406238035805103,-0.008425145770273848,0.020569419627472336
