Dataset,Samples,Baseline,Metric,TabPFN_Mean,Baseline_Mean,Difference
Adult,1000,LightGBM,F1,0.6439909429220736,0.6345070377332653,0.009483905188808261
Adult,1000,LightGBM,ROC_AUC,0.9002820128242275,0.8832272590754819,0.017054753748745544
Adult,1000,CatBoost,Accuracy,0.846944416009827,0.8527791995086499,-0.0058347834988229375
Adult,1000,CatBoost,Precision,0.7261442503441329,0.7463262734876416,-0.0201820231435087
Adult,1000,CatBoost,Recall,0.5792985457656117,0.583917878528657,-0.00461933276304527
Adult,1000,CatBoost,F1,0.6439909429220736,0.6549132634598186,-0.010922320537745
Adult,1000,CatBoost,ROC_AUC,0.9002820128242275,0.9029006638663384,-0.0026186510421108977
Adult,1500,XGBoost,Accuracy,0.851673661582557,0.8401883509059269,0.011485310676630056
Adult,1500,XGBoost,Precision,0.7405681730085343,0.6885648256298498,0.052003347378684506
Adult,1500,XGBoost,Recall,0.586398631308811,0.6073567151411463,-0.020958083832335328
Adult,1500,XGBoost,F1,0.6541618936940548,0.6452820959714477,0.008879797722607052
Adult,1500,XGBoost,ROC_AUC,0.9043705080754922,0.8859473912202125,0.018423116855279753
Adult,1500,LightGBM,Accuracy,0.851673661582557,0.8415395639267069,0.01013409765585005
Adult,1500,LightGBM,Precision,0.7405681730085343,0.6950364891082442,0.045531683900290054
Adult,1500,LightGBM,Recall,0.586398631308811,0.6029940119760479,-0.01659538066723687
Adult,1500,LightGBM,F1,0.6541618936940548,0.6455205270803374,0.008641366613717394
Adult,1500,LightGBM,ROC_AUC,0.9043705080754922,0.8892502382051746,0.01512026987031767
Adult,1500,CatBoost,Accuracy,0.851673661582557,0.8551335858327362,-0.0034599242501792693
Adult,1500,CatBoost,Precision,0.7405681730085343,0.754620784391301,-0.0140526113827667
Adult,1500,CatBoost,Recall,0.586398631308811,0.5857142857142856,0.0006843455945253485
Adult,1500,CatBoost,F1,0.6541618936940548,0.6591584509725527,-0.004996557278497904
Adult,1500,CatBoost,ROC_AUC,0.9043705080754922,0.906375005914119,-0.002004497838626773
Adult,2000,XGBoost,Accuracy,0.8543351417750026,0.8420718599651961,0.012263281809806514
Adult,2000,XGBoost,Precision,0.7459649734450061,0.6948180116869761,0.05114696175803002
Adult,2000,XGBoost,Recall,0.5938408896492728,0.606928999144568,-0.013088109495295153
Adult,2000,XGBoost,F1,0.6611767365099046,0.6478216205115729,0.013355115998331724
Adult,2000,XGBoost,ROC_AUC,0.9062952933742642,0.8897609763459412,0.016534317028322976
Adult,2000,LightGBM,Accuracy,0.8543351417750026,0.8460640802538644,0.008271061521138212
Adult,2000,LightGBM,Precision,0.7459649734450061,0.7077977969147242,0.0381671765302819
Adult,2000,LightGBM,Recall,0.5938408896492728,0.6081266039349872,-0.014285714285714346
Adult,2000,LightGBM,F1,0.6611767365099046,0.654061759990958,0.0071149765189466585
Adult,2000,LightGBM,ROC_AUC,0.9062952933742642,0.8953134103210616,0.010981883053202579
Adult,2000,CatBoost,Accuracy,0.8543351417750026,0.8578155389497389,-0.0034803971747363605
Adult,2000,CatBoost,Precision,0.7459649734450061,0.7612417675599444,-0.015276794114938319
Adult,2000,CatBoost,Recall,0.5938408896492728,0.5919589392643284,0.0018819503849444308
Adult,2000,CatBoost,F1,0.6611767365099046,0.6657815873775325,-0.004604850867627852
Adult,2000,CatBoost,ROC_AUC,0.9062952933742642,0.9090803282989359,-0.0027850349246717476
Adult,3000,XGBoost,Accuracy,0.8565462176271881,0.8491554918620124,0.007390725765175632
Adult,3000,XGBoost,Precision,0.7434008596605748,0.7116567793365796,0.03174408032399523
Adult,3000,XGBoost,Recall,0.6123182207014543,0.6222412318220701,-0.009923011120615888
Adult,3000,XGBoost,F1,0.6713817285997545,0.663684543944578,0.007697184655176548
Adult,3000,XGBoost,ROC_AUC,0.908425268385888,0.8975088579401552,0.010916410445732772
Adult,3000,LightGBM,Accuracy,0.8565462176271881,0.8510799467703961,0.005466270856791966
Adult,3000,LightGBM,Precision,0.7434008596605748,0.7230531547105896,0.020347704949985168
Adult,3000,LightGBM,Recall,0.6123182207014543,0.6130881094952951,-0.0007698887938408783
Adult,3000,LightGBM,F1,0.6713817285997545,0.6631814790953249,0.008200249504429657
Adult,3000,LightGBM,ROC_AUC,0.908425268385888,0.9030950095886432,0.005330258797244802
Adult,3000,CatBoost,Accuracy,0.8565462176271881,0.8606612754631999,-0.004115057836011848
Adult,3000,CatBoost,Precision,0.7434008596605748,0.7661687604262358,-0.022767900765661042
Adult,3000,CatBoost,Recall,0.6123182207014543,0.6023096663815226,0.01000855431993164
Adult,3000,CatBoost,F1,0.6713817285997545,0.6740278405627698,-0.0026461119630152297
Adult,3000,CatBoost,ROC_AUC,0.908425268385888,0.9111887937603079,-0.0027635253744199284
Adult,4000,XGBoost,Accuracy,0.8572627699866926,0.8501586651653188,0.007104104821373802
Adult,4000,XGBoost,Precision,0.7460773700442745,0.7138107210052341,0.03226664903904042
Adult,4000,XGBoost,Recall,0.6120615911035073,0.6245508982035928,-0.012489307100085445
Adult,4000,XGBoost,F1,0.6723403929658003,0.6660331693012358,0.0063072236645644875
Adult,4000,XGBoost,ROC_AUC,0.9097692325136911,0.9017824320215905,0.007986800492100654
Adult,4000,LightGBM,Accuracy,0.8572627699866926,0.854969802436278,0.0022929675504146374
